food,state,value
apple_pie,District of Columbia,100
apple_pie,Vermont,73
apple_pie,Montana,70
apple_pie,Maine,57
apple_pie,Idaho,56
apple_pie,Massachusetts,53
apple_pie,Delaware,53
apple_pie,New York,52
apple_pie,Nebraska,51
apple_pie,Washington,50
apple_pie,New Mexico,47
apple_pie,Maryland,47
apple_pie,New Jersey,46
apple_pie,Michigan,46
apple_pie,South Carolina,46
apple_pie,Alabama,45
apple_pie,Utah,44
apple_pie,Virginia,44
apple_pie,Minnesota,44
apple_pie,Pennsylvania,43
apple_pie,Illinois,43
apple_pie,New Hampshire,43
apple_pie,Oregon,42
apple_pie,Ohio,42
apple_pie,Iowa,41
apple_pie,Colorado,41
apple_pie,West Virginia,41
apple_pie,Mississippi,41
apple_pie,Connecticut,41
apple_pie,Indiana,40
apple_pie,North Carolina,40
apple_pie,North Dakota,40
apple_pie,Hawaii,39
apple_pie,California,39
apple_pie,Oklahoma,38
apple_pie,Rhode Island,37
apple_pie,Kansas,37
apple_pie,Tennessee,37
apple_pie,Wisconsin,37
apple_pie,Texas,37
apple_pie,Georgia,37
apple_pie,Louisiana,37
apple_pie,Florida,37
apple_pie,Arizona,36
apple_pie,Arkansas,35
apple_pie,Wyoming,34
apple_pie,Nevada,34
apple_pie,Missouri,32
apple_pie,Kentucky,31
apple_pie,South Dakota,24
apple_pie,Alaska,20
cranberry_sauce,Alabama,39
cranberry_sauce,Alaska,100
cranberry_sauce,Arizona,28
cranberry_sauce,Arkansas,19
cranberry_sauce,California,36
cranberry_sauce,Colorado,41
cranberry_sauce,Connecticut,31
cranberry_sauce,Delaware,74
cranberry_sauce,Florida,34
cranberry_sauce,Georgia,28
cranberry_sauce,Hawaii,33
cranberry_sauce,Idaho,24
cranberry_sauce,Illinois,29
cranberry_sauce,Indiana,26
cranberry_sauce,Iowa,12
cranberry_sauce,Kansas,50
cranberry_sauce,Kentucky,38
cranberry_sauce,Louisiana,35
cranberry_sauce,Maine,40
cranberry_sauce,Maryland,28
cranberry_sauce,Massachusetts,36
cranberry_sauce,Michigan,28
cranberry_sauce,Minnesota,29
cranberry_sauce,Mississippi,
cranberry_sauce,Missouri,9
cranberry_sauce,Montana,
cranberry_sauce,Nebraska,17
cranberry_sauce,Nevada,47
cranberry_sauce,New Hampshire,80
cranberry_sauce,New Jersey,38
cranberry_sauce,New Mexico,45
cranberry_sauce,New York,35
cranberry_sauce,North Carolina,25
cranberry_sauce,North Dakota,88
cranberry_sauce,Ohio,25
cranberry_sauce,Oklahoma,36
cranberry_sauce,Oregon,33
cranberry_sauce,Pennsylvania,35
cranberry_sauce,Rhode Island,25
cranberry_sauce,South Carolina,25
cranberry_sauce,South Dakota,
cranberry_sauce,Tennessee,28
cranberry_sauce,Texas,26
cranberry_sauce,Utah,36
cranberry_sauce,Vermont,
cranberry_sauce,Virginia,39
cranberry_sauce,Washington,45
cranberry_sauce,West Virginia,
cranberry_sauce,Wisconsin,32
cranberry_sauce,Wyoming,
mashed_potatoes,Alabama,48
mashed_potatoes,Alaska,100
mashed_potatoes,Arizona,61
mashed_potatoes,Arkansas,46
mashed_potatoes,California,75
mashed_potatoes,Colorado,56
mashed_potatoes,Connecticut,75
mashed_potatoes,Delaware,84
mashed_potatoes,District of Columbia,43
mashed_potatoes,Florida,60
mashed_potatoes,Georgia,48
mashed_potatoes,Hawaii,46
mashed_potatoes,Idaho,59
mashed_potatoes,Illinois,61
mashed_potatoes,Indiana,55
mashed_potatoes,Iowa,62
mashed_potatoes,Kansas,60
mashed_potatoes,Kentucky,45
mashed_potatoes,Louisiana,47
mashed_potatoes,Maine,51
