state,value
Alaska,100
North Dakota,88
New Hampshire,80
Delaware,74
Kansas,50
Nevada,47
Washington,45
New Mexico,45
Colorado,41
Maine,40
Alabama,39
Virginia,39
New Jersey,38
Kentucky,38
Utah,36
California,36
Massachusetts,36
Oklahoma,36
New York,35
Louisiana,35
Pennsylvania,35
Florida,34
Oregon,33
Hawaii,33
Wisconsin,32
Connecticut,31
Minnesota,29
Illinois,29
Arizona,28
Michigan,28
Tennessee,28
Maryland,28
Georgia,28
Indiana,26
Texas,26
North Carolina,25
South Carolina,25
Ohio,25
Rhode Island,25
Idaho,24
Arkansas,19
Nebraska,17
Iowa,12
Missouri,9
Mississippi,
Montana,
South Dakota,
Vermont,
West Virginia,
Wyoming,
