state,value
Alaska,100
Delaware,84
South Dakota,78
Connecticut,75
California,75
New York,66
New Jersey,64
Washington,64
Oklahoma,62
Utah,62
Iowa,62
Arizona,61
Illinois,61
Rhode Island,61
Florida,60
Kansas,60
Nevada,60
Idaho,59
Massachusetts,59
Texas,59
Maryland,58
Montana,57
Pennsylvania,56
South Carolina,56
Colorado,56
Indiana,55
Virginia,55
North Dakota,54
Ohio,51
Oregon,51
Michigan,51
Maine,51
Minnesota,50
New Hampshire,50
Nebraska,49
Wyoming,49
Alabama,48
Georgia,48
Wisconsin,48
New Mexico,48
Louisiana,47
Hawaii,46
Missouri,46
Arkansas,46
North Carolina,45
Kentucky,45
Tennessee,44
District of Columbia,43
Mississippi,42
West Virginia,35
Vermont,27
