state,value
Vermont,100
Mississippi,80
Oklahoma,59
Texas,54
Idaho,53
New Mexico,49
Arkansas,49
North Dakota,49
Kansas,48
Tennessee,46
Maine,45
Wyoming,41
Alabama,39
Kentucky,39
Indiana,37
Louisiana,37
North Carolina,36
Colorado,30
Georgia,29
South Carolina,28
Washington,27
Hawaii,27
Pennsylvania,26
West Virginia,26
Missouri,26
Florida,25
Arizona,25
Nevada,24
California,24
Virginia,24
Oregon,24
Minnesota,24
Connecticut,24
Ohio,23
New York,23
Wisconsin,23
Nebraska,22
Michigan,21
New Jersey,21
Rhode Island,21
Illinois,20
Delaware,20
Iowa,20
Massachusetts,20
Maryland,19
Utah,18
New Hampshire,18
Alaska,
District of Columbia,
Montana,
South Dakota,
