state,value
Vermont,100
North Dakota,95
Alaska,94
Montana,93
District of Columbia,93
Maine,92
Mississippi,90
New Hampshire,89
Hawaii,89
New Mexico,89
Connecticut,88
Oregon,88
Virginia,87
Ohio,86
Idaho,85
Michigan,85
Massachusetts,84
Washington,84
Utah,84
Iowa,84
Pennsylvania,84
West Virginia,84
Missouri,83
Kansas,82
South Carolina,82
Alabama,82
Louisiana,82
Indiana,82
Wisconsin,81
Nebraska,81
Kentucky,81
Arkansas,80
North Carolina,80
Oklahoma,79
Wyoming,79
Tennessee,79
Rhode Island,78
Minnesota,78
New York,77
Illinois,77
Maryland,77
Georgia,76
South Dakota,75
Colorado,74
Nevada,74
Arizona,74
New Jersey,73
Delaware,71
California,71
Florida,71
Texas,69
