state,value
New Hampshire,100
North Dakota,83
Alaska,77
Vermont,72
Connecticut,62
Hawaii,55
Pennsylvania,54
Wisconsin,53
Massachusetts,53
Kansas,52
Rhode Island,50
South Dakota,50
Ohio,47
South Carolina,46
District of Columbia,46
West Virginia,45
Michigan,44
New York,43
Oregon,42
Missouri,41
Virginia,41
Kentucky,41
Minnesota,41
Washington,40
Maine,40
Maryland,40
New Jersey,39
Illinois,39
Idaho,38
Indiana,38
North Carolina,37
Florida,37
Oklahoma,36
Tennessee,36
California,35
Arizona,34
New Mexico,34
Colorado,33
Georgia,33
Delaware,33
Louisiana,32
Utah,32
Alabama,31
Arkansas,30
Texas,30
Mississippi,28
Iowa,24
Nevada,24
Montana,24
Nebraska,20
Wyoming,18
